Navn,Gammelt Parti,Nyt Parti,Dato
Simon Emil Ammitzbøll-Bille,Liberal Alliance,Fremad,22. oktober 2019
Simon Emil Ammitzbøll-Bille,Fremad,Løsgænger,7. november 2020
Marcus Knuth,Venstre,Det Konservative Folkeparti,29. november 2019
Uffe Elbæk,Alternativet,Løsgænger,9. marts 2020
Uffe Elbæk,Løsgænger,Frie Grønne,6. september 2020
Rasmus Nordqvist,Alternativet,Løsgænger,9. marts 2020
Rasmus Nordqvist,Løsgænger,Socialistisk Folkeparti,13. maj 2020
Sikandar Siddique,Alternativet,Løsgænger,9. marts 2020
Sikandar Siddique,Løsgænger,Frie Grønne,6. september 2020
Susanne Zimmer,Alternativet,Løsgænger,9. marts 2020
Susanne Zimmer,Løsgænger,Frie Grønne,6. september 2020
Orla Østerby,Det Konservative Folkeparti,Løsgænger,5. december 2020
Lars Løkke Rasmussen,Venstre,Løsgænger,1. januar 2021
Lars Løkke Rasmussen,Løsgænger,Moderaterne,5. juni 2021
Jens Rohde,Radikale Venstre,Løsgænger,25. januar 2021
Jens Rohde,Løsgænger,Kristendemokraterne,26. april 2021
Jens Rohde,Kristendemokraterne,Løsgænger,26. august 2022
Ida Auken,Radikale Venstre,Socialdemokratiet,29. januar 2021
Inger Støjberg,Venstre,Løsgænger,4. februar 2021
Britt Bager,Venstre,Det Konservative Folkeparti,23. marts 2021
Naser Khader,Det Konservative Folkeparti,Løsgænger,18. august 2021
Liselott Blixt,Dansk Folkeparti,Løsgænger,21. februar 2022
Bent Bøgsted,Dansk Folkeparti,Løsgænger,21. februar 2022
Lise Bech,Dansk Folkeparti,Løsgænger,21. februar 2022
Karina Adsbøl,Dansk Folkeparti,Løsgænger,21. februar 2022
Hans Kristian Skibby,Dansk Folkeparti,Løsgænger,22. februar 2022
Marie Krarup,Dansk Folkeparti,Løsgænger,26. februar 2022
Jens Henrik Thulesen Dahl,Dansk Folkeparti,Løsgænger,24. juni 2022
Peter Skaarup,Dansk Folkeparti,Løsgænger,24. juni 2022
Søren Espersen,Dansk Folkeparti,Løsgænger,25. juni 2022
Dennis Flydtkjær,Dansk Folkeparti,Løsgænger,25. juni 2022
Kristian Thulesen Dahl,Dansk Folkeparti,Løsgænger,29. juni 2022
