Navn,Gammelt Parti,Nyt Parti,Dato
Simon Emil Ammitzbøll,Det Radikale Venstre,Borgerligt Centrum,13. februar 2008
Simon Emil Ammitzbøll,Borgerligt Centrum,Liberal Alliance,16. juni 2009
Pia Christmas-Møller,Det Konservative Folkeparti,Løsgænger,5. december 2007
Pia Christmas-Møller,Løsgænger,Det Konservative Folkeparti,31. august 2011
Christian H. Hansen,Dansk Folkeparti,Løsgænger,19. januar 2010
Christian H. Hansen,Løsgænger,Miljøpartiet Fokus,2011
Per Ørum Jørgensen,Det Konservative Folkeparti,Kristendemokraterne,19. maj 2010
Naser Khader,Liberal Alliance,Det Konservative Folkeparti,5. januar 2009
Jørgen Poulsen,Ny Alliance,Løsgænger,24. juni 2008
Jørgen Poulsen,Løsgænger,Det Radikale Venstre,12. august 2008
Gitte Seeberg,Ny Alliance,Løsgænger,29. januar 2008
Malou Aamund,Liberal Alliance,Venstre,5. februar 2009
