Navn,Parti
Mette Abildgaard,Det Konservative Folkeparti
Pia Adelsteen,Dansk Folkeparti
Karina Adsbøl,Dansk Folkeparti
Alex Ahrendtsen,Dansk Folkeparti
Yildiz Akdogan,Socialdemokratiet
Hans Andersen,Venstre
Christine Antorini,Socialdemokratiet
Simon Emil Ammitzbøll,Liberal Alliance
Ida Auken,Radikale Venstre
Carsten Bach,Liberal Alliance
Britt Bager,Venstre
Lise Bech,Dansk Folkeparti
Pernille Bendixen,Dansk Folkeparti
Kenneth Kristensen Berth,Dansk Folkeparti
Liselott Blixt,Dansk Folkeparti
Mette Bock,Liberal Alliance
Erling Bonnesen,Venstre
Tilde Bork,Dansk Folkeparti
Trine Bramsen,Socialdemokratiet
Henrik Brodersen,Dansk Folkeparti
Kirsten Brosbøl,Socialdemokratiet
Stine Brix,Enhedslisten
May-Britt Buch-Kattrup,Liberal Alliance
Hans Kristian Bundgaard-Skibby,Dansk Folkeparti
Morten Bødskov,Socialdemokratiet
Bent Bøgsted,Dansk Folkeparti
Jan Rytkjær Callesen,Dansk Folkeparti
Erik Christensen,Socialdemokratiet
René Christensen,Dansk Folkeparti
Villum Christensen,Liberal Alliance
Kim Christiansen,Dansk Folkeparti
Bjarne Corydon,Socialdemokratiet
Henrik Dahl,Liberal Alliance
Jonas Dahl,Socialistisk Folkeparti
Jens Henrik W. Thulesen Dahl,Dansk Folkeparti
Kristian Thulesen Dahl,Dansk Folkeparti
Lennart Damsbo-Andersen,Socialdemokratiet
Thomas Danielsen,Venstre
Mette Hjermind Dencker,Dansk Folkeparti
Mikkel Dencker,Dansk Folkeparti
Pelle Dragsted,Enhedslisten
Karina Due,Dansk Folkeparti
Kaare Dybvad,Socialdemokratiet
Pia Olsen Dyhr,Socialistisk Folkeparti
Christina Egelund,Liberal Alliance
Susanne Eilersen,Dansk Folkeparti
Uffe Elbæk,Alternativet
Louise Schack Elholm,Venstre
Karen Ellemann,Venstre
Jakob Ellemann-Jensen,Venstre
Benny Engelbrecht,Socialdemokratiet
Søren Espersen,Dansk Folkeparti
Dennis Flydtkjær,Dansk Folkeparti
Eva Flyvholm,Enhedslisten
Josephine Fock,Alternativet
Claus Hjort Frederiksen,Venstre
Mette Frederiksen,Socialdemokratiet
René Gade,Alternativet
Søren Gade,Venstre
Torsten Gejl,Alternativet
Maria Reumert Gjerding,Enhedslisten
Mette Gjerskov,Socialdemokratiet
Karin Gaardsted,Socialdemokratiet
Ane Halsboe-Jørgensen,Socialdemokratiet
Aleqa Hammond,Siumut
Claus Kvist Hansen,Dansk Folkeparti
Eva Kjer Hansen,Venstre
Marlene Harpsøe,Dansk Folkeparti
Orla Hav,Socialdemokratiet
Martin Henriksen,Dansk Folkeparti
Preben Bang Henriksen,Venstre
Magnus Heunicke,Socialdemokratiet
Jane Heitmann,Venstre
Carl Holst,Venstre
Høgni Hoydal,Tjóðveldi
Henning Hyllested,Enhedslisten
Nick Hækkerup,Socialdemokratiet
Karsten Hønge,Socialistisk Folkeparti
Bertel Haarder,Venstre
Daniel Toft Jakobsen,Socialdemokratiet
Rasmus Jarlov,Det Konservative Folkeparti
Jeppe Jakobsen,Dansk Folkeparti
Marianne Jelved,Radikale Venstre
