Navn,Parti
Thomas Adelskov,Socialdemokratiet
Keld Albrechtsen,Enhedslisten
Else Winther Andersen,Venstre
Hans Andersen,Venstre
Jytte Andersen,Socialdemokratiet
Kim Andersen,Venstre
Poul Andersen,Socialdemokratiet
Sophie Hæstorp Andersen,Socialdemokratiet
Charlotte Antonsen,Venstre
Elisabeth Arnold,Det Radikale Venstre
Margrete Auken,Socialistisk Folkeparti
Svend Auken,Socialdemokratiet
Line Barfod,Enhedslisten
Lars Barfoed,Det Konservative Folkeparti
Jette Bergenholz Bautrup,Socialdemokratiet
Gitte Lillelund Bech,Venstre
Bendt Bendtsen,Det Konservative Folkeparti
Inger Bierbaum,Socialdemokratiet
Ritt Bjerregaard,Socialdemokratiet
René Skau Björnsson,Socialdemokratiet
Mariann Fischer Boel,Venstre
Sandy Brinck,Socialdemokratiet
Colette L. Brix,Dansk Folkeparti
Peter Brixtofte,Venstre
Sven Buhrkall,Venstre
Jacob Buksti,Socialdemokratiet
Lotte Bundsgaard,Socialdemokratiet
Morten Bødskov,Socialdemokratiet
Bent Bøgsted,Dansk Folkeparti
Anne Baastrup,Socialistisk Folkeparti
Carina Christensen,Det Konservative Folkeparti
Ole Vagn Christensen,Socialdemokratiet
Peter Christensen,Venstre
Pia Christmas-Møller,Det Konservative Folkeparti
Kristian Thulesen Dahl,Dansk Folkeparti
Inge Dahl-Sørensen,Venstre
Per Dalgaard,Dansk Folkeparti
Freddy Dam,Venstre
Mikkel Dencker,Dansk Folkeparti
Jørn Dohrmann,Dansk Folkeparti
Charlotte Dyremose,Det Konservative Folkeparti
Inge-Lene Ebdrup,Venstre
Lene Espersen,Det Konservative Folkeparti
Tove Fergo,Venstre
Poul Fischer,Dansk Folkeparti
Aage Frandsen,Socialistisk Folkeparti
Mette Frederiksen,Socialdemokratiet
Louise Frevert,Dansk Folkeparti
Søren Gade,Venstre
Lene Garsdal,Socialistisk Folkeparti
Pia Gjellerup,Socialdemokratiet
Carsten Hansen,Socialdemokratiet
Christian H. Hansen,Dansk Folkeparti
Eva Kjer Hansen,Venstre
Flemming Hansen,Det Konservative Folkeparti
Ivar Hansen,Venstre
