Navn,Parti
Ida Auken,Socialdemokratiet
Peter Hummelgaard,Socialdemokratiet
Mette Reissmann,Socialdemokratiet
Pernille Rosenkrantz-Theil,Socialdemokratiet
Jeppe Bruus,Socialdemokratiet
Morten Bødskov,Socialdemokratiet
Maria Durhuus,Socialdemokratiet
Kasper Sand Kjær,Socialdemokratiet
Mattias Tesfaye,Socialdemokratiet
Fie Hækkerup,Socialdemokratiet
Henrik Møller,Socialdemokratiet
Matilde Powers,Socialdemokratiet
Rasmus Stoklund,Socialdemokratiet
Lea Wermelin,Socialdemokratiet
Kaare Dybvad Bek,Socialdemokratiet
Mette Gjerskov,Socialdemokratiet
Magnus Heunicke,Socialdemokratiet
Astrid Krag,Socialdemokratiet
Rasmus Horn Langhoff,Socialdemokratiet
Kasper Roug,Socialdemokratiet
Frederik Vad,Socialdemokratiet
Trine Bramsen,Socialdemokratiet
Bjørn Brandenborg,Socialdemokratiet
Sara Emil Baaring,Socialdemokratiet
Thomas Skriver Jensen,Socialdemokratiet
Dan Jørgensen,Socialdemokratiet
Kim Aas,Socialdemokratiet
Benny Engelbrecht,Socialdemokratiet
Anders Kronborg,Socialdemokratiet
Christian Rabjerg Madsen,Socialdemokratiet
Jesper Petersen,Socialdemokratiet
Kris Jensen Skriver,Socialdemokratiet
Birgitte Vind,Socialdemokratiet
Camilla Fabricius,Socialdemokratiet
Leif Lahn Jensen,Socialdemokratiet
Jens Joel,Socialdemokratiet
Malte Larsen,Socialdemokratiet
Thomas Monberg,Socialdemokratiet
Nicolai Wammen,Socialdemokratiet
Mogens Jensen,Socialdemokratiet
Thomas Jensen,Socialdemokratiet
Annette Lind,Socialdemokratiet
Anne Paulin,Socialdemokratiet
Mette Frederiksen,Socialdemokratiet
Ane Halsboe-Jørgensen,Socialdemokratiet
Per Husted,Socialdemokratiet
Simon Kollerup,Socialdemokratiet
Bjarne Laustsen,Socialdemokratiet
Flemming Møller Mortensen,Socialdemokratiet
Rasmus Prehn,Socialdemokratiet
Samira Nawa,Radikale Venstre
Sofie Carsten Nielsen,Radikale Venstre
Martin Lidegaard,Radikale Venstre
Zenia Stampe,Radikale Venstre
Lotte Rod,Radikale Venstre
Katrine Robsøe,Radikale Venstre
Christian Friis Bach,Radikale Venstre
Helle Bonnesen,Det Konservative Folkeparti
Rasmus Jarlov,Det Konservative Folkeparti
Mette Abildgaard,Det Konservative Folkeparti
Brigitte Klintskov Jerkel,Det Konservative Folkeparti
Mai Mercado,Det Konservative Folkeparti
Niels Flemming Hansen,Det Konservative Folkeparti
Mona Juul,Det Konservative Folkeparti
Lise Bertelsen,Det Konservative Folkeparti
Søren Pape Poulsen,Det Konservative Folkeparti
Per Larsen,Det Konservative Folkeparti
Mette Thiesen,Nye Borgerlige
Peter Seier Christensen,Nye Borgerlige
Mikkel Bjørn Sørensen,Nye Borgerlige
Pernille Vermund,Nye Borgerlige
Lars Boje Mathiesen,Nye Borgerlige
Kim Edberg Andersen,Nye Borgerlige
Lisbeth Bech-Nielsen,Socialistisk Folkeparti
Pia Olsen Dyhr,Socialistisk Folkeparti
Carl Valentin,Socialistisk Folkeparti
Sigurd Agersnap,Socialistisk Folkeparti
Marianne Bigum,Socialistisk Folkeparti
Anne Valentina Berthelsen,Socialistisk Folkeparti
Astrid Carøe,Socialistisk Folkeparti
Jacob Mark,Socialistisk Folkeparti
Karsten Hønge,Socialistisk Folkeparti
Karina Lorentzen Dehnhardt,Socialistisk Folkeparti
Kirsten Normann Andersen,Socialistisk Folkeparti
Sofie Lippert,Socialistisk Folkeparti
Charlotte Broman Mølbæk,Socialistisk Folkeparti
Signe Munk,Socialistisk Folkeparti
Theresa Berg Andersen,Socialistisk Folkeparti
Ole Birk Olesen,Liberal Alliance
Alexander Ryle,Liberal Alliance
Steffen Larsen,Liberal Alliance
Steffen W. Frølund,Liberal Alliance
Lars-Christian Brask,Liberal Alliance
Sandra Elisabeth Skalvig,Liberal Alliance
Katrine Daugaard,Liberal Alliance
Helena Artmann Andresen,Liberal Alliance
Henrik Dahl,Liberal Alliance
Louise Brown,Liberal Alliance
Jens Meilvang,Liberal Alliance
Alex Vanopslagh,Liberal Alliance
Carsten Bach,Liberal Alliance
Sólbjørg Jakobsen,Liberal Alliance
Nanna W. Gotfredsen,Moderaterne
Jon Stephensen,Moderaterne
Rasmus Lund-Nielsen,Moderaterne
Monika Rubin,Moderaterne
Jakob Engel-Schmidt,Moderaterne
Mike Villa Fonseca,Moderaterne
Charlotte Bagge Hansen,Moderaterne
Lars Løkke Rasmussen,Moderaterne
Rosa Eriksen,Moderaterne
Henrik Frandsen,Moderaterne
Mette Kierkgaard,Moderaterne
Tobias Grotkjær Elmstrøm,Moderaterne
Peter Have,Moderaterne
Karin Liltorp,Moderaterne
Jeppe Søe,Moderaterne
Kristian Klarskov,Moderaterne
Morten Messerschmidt,Dansk Folkeparti
Pia Kjærsgaard,Dansk Folkeparti
Alex Ahrendtsen,Dansk Folkeparti
Peter Kofod,Dansk Folkeparti
Nick Zimmermann,Dansk Folkeparti
Jan E. Jørgensen,Venstre
Linea Søgaard-Lidell,Venstre
Karen Ellemann,Venstre
Hans Andersen,Venstre
Sophie Løhde,Venstre
Peter Juel-Jensen,Venstre
Morten Dahlin,Venstre
Louise Schack Elholm,Venstre
Jacob Jensen,Venstre
Erling Bonnesen,Venstre
Lars Chr. Lilleholt,Venstre
Anni Matthiesen,Venstre
Christoffer Aagaard Melson,Venstre
Hans Christian Schmidt,Venstre
Jakob Ellemann-Jensen,Venstre
Michael Aastrup Jensen,Venstre
Troels Lund Poulsen,Venstre
Thomas Danielsen,Venstre
Mads Fuglede,Venstre
Søren Gade,Venstre
Marie Bjerre,Venstre
Preben Bang Henriksen,Venstre
Torsten Schack Pedersen,Venstre
Charlotte Munch,Danmarksdemokraterne
Marlene Harpsøe,Danmarksdemokraterne
Susie Jessen,Danmarksdemokraterne
Peter Skaarup,Danmarksdemokraterne
Jens Henrik W. Thulesen Dahl,Danmarksdemokraterne
Karina Adsbøl,Danmarksdemokraterne
Søren Espersen,Danmarksdemokraterne
Kenneth Fredslund Petersen,Danmarksdemokraterne
Hans Kristian Skibby,Danmarksdemokraterne
Dennis Flydtkjær,Danmarksdemokraterne
Betina Kastbjerg,Danmarksdemokraterne
Lise Bech,Danmarksdemokraterne
Kristian Bøgsted,Danmarksdemokraterne
Inger Støjberg,Danmarksdemokraterne
Pelle Dragsted,Enhedslisten
Rosa Lund,Enhedslisten
Jette Gottlieb,Enhedslisten
Søren Søndergaard,Enhedslisten
Trine Pertou Mach,Enhedslisten
Victoria Velásquez,Enhedslisten
Søren Egge Rasmussen,Enhedslisten
Mai Villadsen,Enhedslisten
Peder Hvelplund,Enhedslisten
Christina Olumeko,Alternativet
Franciska Rosenkilde,Alternativet
Helene Liliendahl Brydensholt,Alternativet
Sascha Faxe,Alternativet
Torsten Gejl,Alternativet
Theresa Scavenius,Alternativet
Anna Falkenberg,Sambandsflokkurin
Sjúrður Skaale,Javnaðarflokkurin
Aaja Chemnitz Driefer,Inuit Ataqatigiit
Aki-Matilda Høegh-Dam,Siumut
