Navn,Parti
Thomas Adelskov,Socialdemokratiet
Simon Emil Ammitzbøll,Det Radikale Venstre
Hans Andersen,Venstre
Jytte Andersen,Socialdemokratiet
Kim Andersen,Venstre
Poul Andersen,Socialdemokratiet
Charlotte Antonsen,Venstre
Christine Antorini,Socialdemokratiet
Hüseyin Arac,Socialdemokratiet
Jørgen Arbo-Bæhr,Enhedslisten
Elisabeth Arnold,Det Radikale Venstre
Svend Auken,Socialdemokratiet
Pernille Vigsø Bagge,Socialistisk Folkeparti
Line Barfod,Enhedslisten
Lars Barfoed,Det Konservative Folkeparti
Gitte Lillelund Bech,Venstre
Tom Behnke,Det Konservative Folkeparti
Bendt Bendtsen,Det Konservative Folkeparti
René Skau Björnsson,Socialdemokratiet
Erling Bonnesen,Venstre
Sandy Brinck,Socialdemokratiet
Colette Brix,Dansk Folkeparti
Kirsten Brosbøl,Socialdemokratiet
Lotte Bundsgaard,Socialdemokratiet
Morten Bødskov,Socialdemokratiet
Bent Bøgsted,Dansk Folkeparti
Carina Christensen,Det Konservative Folkeparti
Peter Christensen,Venstre
Poul Erik Christensen,Det Radikale Venstre
Troels Christensen,Venstre
Anne Mette Winther Christiansen,Venstre
Kim Christiansen,Dansk Folkeparti
Pia Christmas-Møller,Det Konservative Folkeparti
Walter Christophersen,Dansk Folkeparti
Per Clausen,Enhedslisten
Bente Dahl,Det Radikale Venstre
Kristian Thulesen Dahl,Dansk Folkeparti
Mikkel Dencker,Dansk Folkeparti
Jørn Dohrmann,Dansk Folkeparti
Lone Dybkjær,Det Radikale Venstre
Charlotte Dyremose,Det Konservative Folkeparti
Inge-Lene Ebdrup,Venstre
Joan Erlandsen,Venstre
Lene Espersen,Det Konservative Folkeparti
Søren Espersen,Dansk Folkeparti
Mia Falkenberg,Dansk Folkeparti
Charlotte Fischer,Det Radikale Venstre
Claus Hjort Frederiksen,Venstre
Mette Frederiksen,Socialdemokratiet
Louise Frevert,Dansk Folkeparti
Steen Gade,Socialistisk Folkeparti
Søren Gade,Venstre
Elisabeth Geday,Det Radikale Venstre
Pia Gjellerup,Socialdemokratiet
Mette Gjerskov,Socialdemokratiet
Ole Glahn,Det Radikale Venstre
Carsten Hansen,Socialdemokratiet
Christian H. Hansen,Dansk Folkeparti
Eva Kjer Hansen,Venstre
Flemming Hansen,Det Konservative Folkeparti
Lene Hansen,Socialdemokratiet
Pernille Blach Hansen,Socialdemokratiet
Torben Hansen,Socialdemokratiet
Poul Henrik Hedeboe,Socialistisk Folkeparti
Connie Hedegaard,Det Konservative Folkeparti
Martin Henriksen,Dansk Folkeparti
Magnus Heunicke,Socialdemokratiet
Britta Schall Holberg,Venstre
Anne Grete Holmsgaard,Socialistisk Folkeparti
Morten Homann,Socialistisk Folkeparti
Birthe Rønn Hornbech,Venstre
Svend Erik Hovmand,Venstre
Høgni Hoydal,Tjóðveldi
Rikke Hvilshøj,Venstre
Karen Hækkerup,Socialdemokratiet
Klaus Hækkerup,Socialdemokratiet
Bertel Haarder,Venstre
Marianne Jelved,Det Radikale Venstre
Frank Jensen,Socialdemokratiet
Jacob Jensen,Venstre
Kristian Jensen,Venstre
Lene Jensen,Socialdemokratiet
Michael Aastrup Jensen,Venstre
Mogens Jensen,Socialdemokratiet
Lars-Emil Johansen,Siumut
Birgitte Josefsen,Venstre
Per Ørum Jørgensen,Det Konservative Folkeparti
Anfinn Kallsberg,Fólkaflokkurin
Naser Khader,Det Radikale Venstre
Jens Kirk,Venstre
Kurt Kirkegaard,Venstre
Henriette Kjær,Det Konservative Folkeparti
Pia Kjærsgaard,Dansk Folkeparti
Kuupik Kleist,Inuit Ataqatigiit
Karen J. Klint,Socialdemokratiet
Anita Knakkergaard,Dansk Folkeparti
Jeppe Kofod,Socialdemokratiet
Søren Krarup,Dansk Folkeparti
Pia Kristensen,Dansk Folkeparti
Per Kaalund,Socialdemokratiet
Jesper Langballe,Dansk Folkeparti
Flemming Damgaard Larsen,Venstre
Henrik Sass Larsen,Socialdemokratiet
Pia Larsen,Venstre
Bjarne Laustsen,Socialdemokratiet
Martin Lidegaard,Det Radikale Venstre
Lars Lilleholt,Venstre
Kristian Pihl Lorentzen,Venstre
Jens Chr. Lund,Socialdemokratiet
Rune Lund,Enhedslisten
Mogens Lykketoft,Socialdemokratiet
Jens Hald Madsen,Venstre
Lissa Mathiasen,Socialdemokratiet
Christian Mejdahl,Venstre
Anne-Marie Meldgaard,Socialdemokratiet
Morten Messerschmidt,Dansk Folkeparti
Brian Mikkelsen,Det Konservative Folkeparti
Leif Mikkelsen,Venstre
Kim Mortensen,Socialdemokratiet
Helge Adam Møller,Det Konservative Folkeparti
Lone Møller,Socialdemokratiet
Per Stig Møller,Det Konservative Folkeparti
Tina Nedergaard,Venstre
Allan Niebuhr,Det Konservative Folkeparti
Elsebeth Gerner Nielsen,Det Radikale Venstre
Holger K. Nielsen,Socialistisk Folkeparti
Jakob Axel Nielsen,Det Konservative Folkeparti
Karsten Nonbo,Venstre
Karin Nødgaard,Dansk Folkeparti
Poul Nødgaard,Dansk Folkeparti
Ellen Trane Nørby,Venstre
Marion Pedersen,Venstre
Thor Pedersen,Venstre
Torsten Schack Pedersen,Venstre
Jan Petersen,Socialdemokratiet
Morten Helveg Petersen,Det Radikale Venstre
Niels Helveg Petersen,Det Radikale Venstre
Tina Petersen,Dansk Folkeparti
Søren Pind,Venstre
Johannes Poulsen,Det Radikale Venstre
Troels Lund Poulsen,Venstre
Rasmus Prehn,Socialdemokratiet
Kamal Qureshi,Socialistisk Folkeparti
Anders Fogh Rasmussen,Venstre
Lars Løkke Rasmussen,Venstre
Troels Ravn,Socialdemokratiet
Jens Rohde,Venstre
Pernille Rosenkrantz-Theil,Enhedslisten
Preben Rudiengaard,Venstre
Helge Sander,Venstre
Hans Christian Schmidt,Venstre
Lise von Seelen,Socialdemokratiet
Hanne Severinsen,Venstre
Irene Simonsen,Venstre
Niels Sindal,Socialdemokratiet
Helle Sjelle,Det Konservative Folkeparti
Hans Kristian Skibby,Dansk Folkeparti
Birthe Skaarup,Dansk Folkeparti
Peter Skaarup,Dansk Folkeparti
Ole Sohn,Socialistisk Folkeparti
Ole Stavad,Socialdemokratiet
Inger Støjberg,Venstre
Frode Sørensen,Socialdemokratiet
Villy Søvndal,Socialistisk Folkeparti
Helle Thorning-Schmidt,Socialdemokratiet
Arne Toft,Socialdemokratiet
Kristen Touborg,Socialistisk Folkeparti
Jan Trøjborg,Socialdemokratiet
Ulla Tørnæs,Venstre
Jens Peter Vernersen,Socialdemokratiet
Eyvind Vesselbo,Venstre
Margrethe Vestager,Det Radikale Venstre
Jens Vibjerg,Venstre
Christian Wedell-Neergaard,Det Konservative Folkeparti
Jørgen Winther,Venstre
Jytte Wittrock,Socialdemokratiet
Morten Østergaard,Det Radikale Venstre
Frank Aaen,Enhedslisten
