Navn,Parti
Thomas Adelskov,Socialdemokratiet
Pia Adelsteen,Dansk Folkeparti
Hanne Agersnap,Socialistisk Folkeparti
Yildiz Akdogan,Socialdemokratiet
Simon Emil Ammitzbøll,Det Radikale Venstre
Eigil Andersen,Socialistisk Folkeparti
Kim Andersen,Venstre
Poul Andersen,Socialdemokratiet
Sophie Hæstorp Andersen,Socialdemokratiet
Christine Antorini,Socialdemokratiet
Ida Auken,Socialistisk Folkeparti
Svend Auken,Socialdemokratiet
Pernille Vigsø Bagge,Socialistisk Folkeparti
Line Barfod,Enhedslisten
Lars Barfoed,Det Konservative Folkeparti
Gitte Lillelund Bech,Venstre
Tom Behnke,Det Konservative Folkeparti
Bendt Bendtsen,Det Konservative Folkeparti
Per Bisgaard,Venstre
René Skau Björnsson,Socialdemokratiet
Liselott Blixt,Dansk Folkeparti
Flemming Bonne,Socialistisk Folkeparti
Erling Bonnesen,Venstre
Karl Bornhøft,Socialistisk Folkeparti
Colette Brix,Dansk Folkeparti
Henrik Brodersen,Dansk Folkeparti
Kirsten Brosbøl,Socialdemokratiet
Morten Bødskov,Socialdemokratiet
Bent Bøgsted,Dansk Folkeparti
Anne Baastrup,Socialistisk Folkeparti
Mogens Camre,Dansk Folkeparti
Özlem Sara Cekic,Socialistisk Folkeparti
Carina Christensen,Det Konservative Folkeparti
Ole Vagn Christensen,Socialdemokratiet
Peter Christensen,Venstre
Troels Christensen,Venstre
Anne-Mette Winther Christiansen,Venstre
Kim Christiansen,Dansk Folkeparti
Pia Christmas-Møller,Det Konservative Folkeparti
Per Clausen,Enhedslisten
Bente Dahl,Det Radikale Venstre
Jonas Dahl,Socialistisk Folkeparti
Kristian Thulesen Dahl,Dansk Folkeparti
Lennart Damsbo-Andersen,Socialdemokratiet
Mikkel Dencker,Dansk Folkeparti
Jørn Dohrmann,Dansk Folkeparti
Lone Dybkjær,Det Radikale Venstre
Charlotte Dyremose,Det Konservative Folkeparti
Pia Olsen Dyhr,Socialistisk Folkeparti
Louise Schack Elholm,Venstre
Karen Ellemann,Venstre
Benny Engelbrecht,Socialdemokratiet
Lene Espersen,Det Konservative Folkeparti
Søren Espersen,Dansk Folkeparti
Mia Falkenberg,Dansk Folkeparti
Pernille Frahm,Socialistisk Folkeparti
Claus Hjort Frederiksen,Venstre
Mette Frederiksen,Socialdemokratiet
Steen Gade,Socialistisk Folkeparti
Søren Gade,Venstre
Mette Gjerskov,Socialdemokratiet
Carsten Hansen,Socialdemokratiet
Christian H. Hansen,Dansk Folkeparti
Eva Kjer Hansen,Venstre
Lene Hansen,Socialdemokratiet
Torben Hansen,Socialdemokratiet
Marlene Harpsøe,Dansk Folkeparti
Orla Hav,Socialdemokratiet
Connie Hedegaard,Det Konservative Folkeparti
Juliane Henningsen,Inuit Ataqatigiit
Martin Henriksen,Dansk Folkeparti
Magnus Heunicke,Socialdemokratiet
Britta Schall Holberg,Venstre
Anne Grete Holmsgaard,Socialistisk Folkeparti
Birthe Rønn Hornbech,Venstre
Høgni Hoydal,Tjóðveldi
Rikke Hvilshøj,Venstre
Karen Hækkerup,Socialdemokratiet
Klaus Hækkerup,Socialdemokratiet
Nick Hækkerup,Socialdemokratiet
Ole Hækkerup,Socialdemokratiet
Karsten Hønge,Socialistisk Folkeparti
Henrik Høegh,Venstre
Bertel Haarder,Venstre
Marianne Jelved,Det Radikale Venstre
Jacob Jensen,Venstre
Kristian Jensen,Venstre
Leif Lahn Jensen,Socialdemokratiet
Michael Aastrup Jensen,Venstre
Mogens Jensen,Socialdemokratiet
Nanna Westerby Jensen,Socialistisk Folkeparti
Peter Juel Jensen,Venstre
Thomas Jensen,Socialdemokratiet
Karen Jespersen,Venstre
Edmund Joensen,Sambandsflokkurin
Lars-Emil Johansen,Siumut
Birgitte Josefsen,Venstre
Per Ørum Jørgensen,Det Konservative Folkeparti
Naser Khader,Ny Alliance
Vivi Kier,Det Konservative Folkeparti
Jens Kirk,Venstre
Henriette Kjær,Det Konservative Folkeparti
Pia Kjærsgaard,Dansk Folkeparti
Karen Klint,Socialdemokratiet
Anita Knakkergaard,Dansk Folkeparti
Jeppe Kofod,Socialdemokratiet
Astrid Krag,Socialistisk Folkeparti
Søren Krarup,Dansk Folkeparti
Henrik Dam Kristensen,Socialdemokratiet
Knud Kristensen,Det Konservative Folkeparti
Jesper Langballe,Dansk Folkeparti
Flemming Damgaard Larsen,Venstre
Henrik Sass Larsen,Socialdemokratiet
Karsten Lauritzen,Venstre
Bjarne Laustsen,Socialdemokratiet
Mike Legarth,Det Konservative Folkeparti
Lars Christian Lilleholt,Venstre
Karina Lorentzen,Socialistisk Folkeparti
Kristian Pihl Lorentzen,Venstre
Jens Chr. Lund,Socialdemokratiet
Mogens Lykketoft,Socialdemokratiet
Sophie Løhde,Venstre
Anne-Marie Meldgaard,Socialdemokratiet
Morten Messerschmidt,Dansk Folkeparti
Brian Mikkelsen,Det Konservative Folkeparti
Flemming Møller Mortensen,Socialdemokratiet
Kim Mortensen,Socialdemokratiet
