Navn,Parti
Keld Albrechtsen,Enhedslisten
Sonja Albrink,Centrumdemokraterne
Else Winther Andersen,Venstre
Jytte Andersen,Socialdemokratiet
Hanne Andersen,Socialdemokratiet
Kim Andersen,Venstre
Poul Andersen,Socialdemokratiet
Yvonne Herløv Andersen,Centrumdemokraterne
Mogens Andreasen,Dansk Folkeparti
Charlotte Antonsen,Venstre
Christine Antorini,Socialistisk Folkeparti
Elisabeth Arnold,Det Radikale Venstre
Margrete Auken,Socialistisk Folkeparti
Svend Auken,Socialdemokratiet
Kim Behnke,Fremskridtspartiet
Tom Behnke,Fremskridtspartiet
Helen Beim,Socialdemokratiet
Dorte Bennedsen,Socialdemokratiet
Bendt Bendtsen,Det Konservative Folkeparti
Inger Bierbaum,Socialdemokratiet
Mariann Fischer Boel,Venstre
Óli Breckmann,Fólkaflokkurin
Peter Brixtofte,Venstre
Jacob Buksti,Socialdemokratiet
Lotte Bundsgaard,Socialdemokratiet
Anne Baastrup,Socialistisk Folkeparti
Erling Christensen,Socialdemokratiet
Ole Vagn Christensen,Socialdemokratiet
Pia Christmas-Møller,Det Konservative Folkeparti
Susanne Clemensen,Centrumdemokraterne
Kristian Thulesen Dahl,Dansk Folkeparti
Inge Dahl-Sørensen,Venstre
Frank Dahlgaard,Det Konservative Folkeparti
Helle Degn,Socialdemokratiet
Ole Donner,Dansk Folkeparti
Peter Duetoft,Centrumdemokraterne
Poul Erik Dyrlund,Socialdemokratiet
Jóannes Eidesgaard,Javnadarflokkurin
Uffe Ellemann-Jensen,Venstre
Hans Engell,Det Konservative Folkeparti
Lene Espersen,Det Konservative Folkeparti
Jørgen Estrup,Det Radikale Venstre
Svend Aage Fauerholdt,Dansk Folkeparti
Tove Fergo,Venstre
Ove Fich,Socialdemokratiet
Pernille Frahm,Socialistisk Folkeparti
Aage Frandsen,Socialistisk Folkeparti
Thorkild B. Fransgaard,Fremskridtspartiet
Steen Gade,Socialistisk Folkeparti
Henning Gjellerod,Socialdemokratiet
Pia Gjellerup,Socialdemokratiet
Martin Glerup,Socialdemokratiet
Jette Gottlieb,Enhedslisten
Holger Graversen,Socialdemokratiet
Lis Greibe,Socialdemokratiet
Henning Grove,Det Konservative Folkeparti
Anna-Marie Hansen,Socialdemokratiet
Annie Lunde Hansen,Centrumdemokraterne
Carsten Hansen,Socialdemokratiet
Christian H. Hansen,Dansk Folkeparti
Eva Kjer Hansen,Venstre
Flemming Hansen,Det Konservative Folkeparti
Ivar Hansen,Venstre
Pernille Blach Hansen,Socialdemokratiet
Søren Hansen,Socialdemokratiet
Peter Hansen-Nord,Venstre
Jens Heimburger,Det Konservative Folkeparti
Svend Heiselberg,Venstre
Birthe Rønn Hornbech,Venstre
Svend Erik Hovmand,Venstre
Rikke Hvilshøj,Venstre
Hans Hækkerup,Socialdemokratiet
Klaus Hækkerup,Socialdemokratiet
Lise Hækkerup,Socialdemokratiet
Ole Hækkerup,Socialdemokratiet
Bertel Haarder,Venstre
Kaj Ikast,Det Konservative Folkeparti
Erik Jacobsen,Venstre
Kirsten Jacobsen,Fremskridtspartiet
Mimi Jakobsen,Centrumdemokraterne
Marianne Jelved,Det Radikale Venstre
Svend Aage Jensby,Venstre
Anders Mølgaard Jensen,Venstre
Frank Jensen,Socialdemokratiet
Kristian Jensen,Venstre
Jørn Jespersen,Socialistisk Folkeparti
Karen Jespersen,Socialdemokratiet
René Skau Johansen,Socialdemokratiet
Ebbe Kalnæs,Centrumdemokraterne
Jens Kirk,Venstre
Knud Erik Kirkegaard,Det Konservative Folkeparti
Henriette Kjær,Det Konservative Folkeparti
Klaus Kjær,Dansk Folkeparti
Harald Kjøller,Venstre
Pia Kjærsgaard,Dansk Folkeparti
Karen Klint,Socialdemokratiet
Henrik Dam Kristensen,Socialdemokratiet
Carsten Koch,Socialdemokratiet
Jeppe Kofod,Socialdemokratiet
Søren Kolstrup,Enhedslisten
Gyda Kongsted,Venstre
Ellen Kristensen,Atassut
Per Kaalund,Socialdemokratiet
Erik Larsen,Venstre
Ester Larsen,Venstre
Pia Larsen,Venstre
Claus Larsen-Jensen,Socialdemokratiet
Bjarne Laustsen,Socialdemokratiet
Jes Lunde,Socialistisk Folkeparti
Mogens Lykketoft,Socialdemokratiet
Aase D. Madsen,Dansk Folkeparti
Jens Hald Madsen,Venstre
Lissa Mathiasen,Socialdemokratiet
Christian Mejdahl,Venstre
Arne Melchior,Centrumdemokraterne
Anne-Marie Meldgaard,Socialdemokratiet
Brian Mikkelsen,Det Konservative Folkeparti
Lars Kramer Mikkelsen,Socialdemokratiet
Sonja Mikkelsen,Socialdemokratiet
Helga Moos,Venstre
Else Marie Mortensen,Socialdemokratiet
Erik Mortensen,Socialdemokratiet
Helge Mortensen,Socialdemokratiet
Egil Møller,Dansk Folkeparti
Helge Adam Møller,Det Konservative Folkeparti
Lone Møller,Socialdemokratiet
Per Stig Møller,Det Konservative Folkeparti
Poul Nielson,Socialdemokratiet
Elsebeth Gerner Nielsen,Det Radikale Venstre
Holger K. Nielsen,Socialistisk Folkeparti
Ole M. Nielsen,Kristeligt Folkeparti
Karsten Nonbo,Venstre
Poul Nødgaard,Dansk Folkeparti
Vibeke Peschardt,Det Radikale Venstre
Jørn Pedersen,Socialdemokratiet
Thor Pedersen,Venstre
Jan Petersen,Socialdemokratiet
Morten Helveg Petersen,Det Radikale Venstre
Niels Helveg Petersen,Det Radikale Venstre
Anders Fogh Rasmussen,Venstre
Ingrid Rasmussen,Socialdemokratiet
Lars Løkke Rasmussen,Venstre
Poul Nyrup Rasmussen,Socialdemokratiet
Inge Refshauge,Dansk Folkeparti
Jens Rohde,Venstre
Hans-Pavia Rosing,Siumut
Preben Rudiengaard,Venstre
Karen Rønde,Venstre
Pernille Sams,Det Konservative Folkeparti
Peder Sass,Socialdemokratiet
Gitte Seeberg,Det Konservative Folkeparti
Hanne Severinsen,Venstre
Ole Løvig Simonsen,Socialdemokratiet
Jann Sjursen,Kristeligt Folkeparti
Birthe Skaarup,Dansk Folkeparti
Peter Skaarup,Dansk Folkeparti
Hans Christian Schmidt,Venstre
Grete Schødts,Socialdemokratiet
Ole Sohn,Socialistisk Folkeparti
Ole Stavad,Socialdemokratiet
Anni Svanholt,Socialistisk Folkeparti
Flemming Kofod-Svendsen,Kristeligt Folkeparti
Søren Søndergaard,Enhedslisten
Frode Sørensen,Socialdemokratiet
Hugo Sørensen,Socialdemokratiet
Villy Søvndal,Socialistisk Folkeparti
Margot Torp,Socialdemokratiet
Kristen Touborg,Socialistisk Folkeparti
Bodil Thrane,Venstre
Jan Trøjborg,Socialdemokratiet
Ulla Tørnæs,Venstre
Jens Peter Vernersen,Socialdemokratiet
Jens Vibjerg,Venstre
Tove Videbæk,Kristeligt Folkeparti
Birte Weiss,Socialdemokratiet
Jørgen Winther,Venstre
Jytte Wittrock,Socialdemokratiet
Frank Aaen,Enhedslisten
